2019-07-10 10:04:54.519 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/module/module_icon_list],methods=[GET]}" onto public java.lang.String com.wangtiansoft.KingDarts.core.extensions.auth.controller.ModuleController.module_icon_list() 
2019-07-10 10:04:54.522 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_add],methods=[GET]}" onto public java.lang.String com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_add(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.523 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_list]}" onto public java.lang.String com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_list(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.523 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_tree]}" onto public com.wangtiansoft.KingDarts.common.bean.ApiResult com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_tree(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.523 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_search],methods=[POST]}" onto public com.wangtiansoft.KingDarts.common.bean.JQGirdPageResult com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_search(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean,com.wangtiansoft.KingDarts.common.bean.PageBean) 
2019-07-10 10:04:54.524 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_add],methods=[POST]}" onto public com.wangtiansoft.KingDarts.common.bean.ApiResult com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_add_post(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.524 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_edit],methods=[GET]}" onto public java.lang.String com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_edit(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.524 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/org/org_edit],methods=[POST]}" onto public com.wangtiansoft.KingDarts.common.bean.ApiResult com.wangtiansoft.KingDarts.core.extensions.auth.controller.OrgController.org_edit_post(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.528 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/role/role_list]}" onto public java.lang.String com.wangtiansoft.KingDarts.core.extensions.auth.controller.RoleController.role_list(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean) 
2019-07-10 10:04:54.529 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/a/role/role_search],methods=[POST]}" onto public com.wangtiansoft.KingDarts.common.bean.JQGirdPageResult com.wangtiansoft.KingDarts.core.extensions.auth.controller.RoleController.role_search(com.wangtiansoft.KingDarts.core.extensions.auth.bean.AuthSearchBean,com.wangtiansoft.KingDarts.common.bean.PageBean) 
